FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
1078,1,288
1079,2565,1
1080,26445,1
1081,1,1
1082,1,2298
1083,601942,24
1084,2159,39
1085,544,250
1086,234,1
1087,1,1
1088,16,1
1089,10562,163
1090,400,2728
1091,16053,1
1092,94,1530
1093,2942,10
1094,10,35
1095,3216,249
1096,437,360
1097,3349,288
1098,3117,266
1099,106,288
1100,214,288
1101,10053,48
1102,15,1
1103,1126,1120
1104,197,288
1105,1134,24
1106,187,283
1107,225,1440
1108,2143,24
1109,5806,1
1110,4059,4
1111,106,1440
1112,2999,288
1113,1654,145
1114,10278,45
1115,1054,5
1116,126,669
1117,3843,47
1118,1762,73
1119,256,288
1120,130,20
1121,2265,703
1122,1391,48
1123,1002,1
1124,2744,48
1125,16151,24
1126,520,288
1127,1,288
1128,488,1
1129,1034,18
1130,2292,1
1131,289,890
1132,17,1
1133,10655,5696
1134,27803,16
1135,1529,222
1136,715,21
1137,13069,86
1138,421,288
1139,490,4
1140,3540,96
1141,1489,2
1142,103,288
1143,2431,10
1144,3236,2
1145,11,99
1146,34,4766
1147,380,2
1148,1619,4
1149,2845,4
1150,11744,1
1151,891,1440
1152,2,1440
1153,3634,17
1154,24245,720
1155,1887,38427
1156,10,288
1157,1,360
1158,308,41
1159,10411,24
1160,3405,4
1161,10042,1
1162,1728,48
1163,263,1192
1164,163,288
1165,674,2
1166,156,1
1167,1218,23
1168,162,328
1169,4,288
1170,1,17275
1171,10786,1439
1172,2699,685
1173,2588,12
1174,1615,8
1175,1060,2
1176,20,142234
1177,39137,1
1178,15,2
1179,1044,17225
1180,100,6
1181,238,2037345
1182,27854,1
1183,22054,1440
1184,345,60
1185,1,288
1186,100,24
1187,1854,288
1188,145,864
1189,719,18
1190,1046,1
1191,13,1439
1192,82445,45
1193,2023,109
1194,239,288
1195,28,72
1196,41793,1
1197,2693,1
1198,208,2
1199,46959,1
1200,345,288
1201,436,3837
1202,1869,48
1203,641,102
1204,106,161
1205,8004,1
1206,205,480
1207,2011,288
1208,1,1440
1209,156,1
1210,2228,23
1211,1313,1
1212,1107,114
1213,125,1
1214,735,2880
1215,1,288
1216,11,75946
1217,1107,24
1218,107,17
1219,778,96
1220,233,10
1221,13270,7
1222,1253,288
1223,1,1
1224,1458,1
1225,403,954
1226,1349,3
1227,126,4
1228,11268,480
1229,1297,2
1230,1,1
1231,2112,4575
1232,192,125
1233,212,2507
1234,479,15
1235,1,1
1236,1,288
1237,1198,8077
1238,2160,1
1239,1221,14400
1240,1220,1
1241,2053,1
1242,381,24
1243,1757,8
1244,1,1
1245,1,1
1246,29797,1440
1247,157,294
1248,31,1
1249,1796,2
1250,18806,288
1251,17337,41
1252,194,8
1253,81,56477
1254,1175,66
1255,1043,2
1256,1205,1
1257,16425,1
1258,49807,1
1259,109,1
